constructorId,constructorRef,constructor_name,constructor_country,team_avg_first_pit_lap,total_races_participated,total_wins
118,vanwall,Vanwall,British,,,0.0
119,moore,Moore,American,,,0.0
120,dunn,Dunn,American,,,0.0
121,elder,Elder,American,,,0.0
122,sutton,Sutton,American,,,0.0
123,fry,Fry,British,,,0.0
124,tec-mec,Tec-Mec,Italian,,,0.0
125,connaught,Connaught,British,,,0.0
126,alta,Alta,British,,,0.0
127,osca,OSCA,Italian,,,0.0
128,gordini,Gordini,French,,,0.0
129,stevens,Stevens,American,,,0.0
130,bugatti,Bugatti,French,,,0.0
131,mercedes,Mercedes,German,18.605479452054794,194.0,97.0
132,lancia,Lancia,Italian,,,0.0
133,hwm,HWM,British,,,0.0
134,schroeder,Schroeder,American,,,0.0
135,pawl,Pawl,American,,,0.0
136,pankratz,Pankratz,American,,,0.0
137,arzani-volpini,Arzani-Volpini,Italian,,,0.0
138,nichels,Nichels,American,,,0.0
139,bromme,Bromme,American,,,0.0
140,klenk,Klenk,German,,,0.0
141,simca,Simca,French,,,0.0
142,turner,Turner,American,,,0.0
143,del_roy,Del Roy,American,,,0.0
144,veritas,Veritas,German,,,0.0
145,bmw,BMW,German,,,0.0
146,emw,EMW,East German,,,0.0
147,afm,AFM,German,,,0.0
148,frazer_nash,Frazer Nash,British,,,0.0
149,sherman,Sherman,American,,,0.0
150,deidt,Deidt,American,,,0.0
151,era,ERA,British,,,0.0
152,butterworth,Aston Butterworth,British,,,0.0
153,cisitalia,Cisitalia,Italian,,,0.0
154,lago,Talbot-Lago,French,,,0.0
155,hall,Hall,American,,,0.0
156,marchese,Marchese,American,,,0.0
157,langley,Langley,American,,,0.0
158,rae,Rae,American,,,0.0
159,olson,Olson,American,,,0.0
160,wetteroth,Wetteroth,American,,,0.0
161,adams,Adams,American,,,0.0
162,snowberger,Snowberger,American,,,0.0
163,milano,Milano,Italian,,,0.0
164,hrt,HRT,Spanish,,,0.0
167,cooper-maserati,Cooper-Maserati,British,,,0.0
166,virgin,Virgin,British,,,0.0
168,cooper-osca,Cooper-OSCA,British,,,0.0
169,cooper-borgward,Cooper-Borgward,British,,,0.0
170,cooper-climax,Cooper-Climax,British,,,0.0
171,cooper-castellotti,Cooper-Castellotti,British,,,0.0
172,lotus-climax,Lotus-Climax,British,,,0.0
173,lotus-maserati,Lotus-Maserati,British,,,0.0
174,de_tomaso-osca,De Tomaso-Osca,Italian,,,0.0
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,,,0.0
176,lotus-brm,Lotus-BRM,British,,,0.0
177,lotus-borgward,Lotus-Borgward,British,,,0.0
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,,,0.0
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,,,0.0
180,lotus-ford,Lotus-Ford,British,,,0.0
181,brabham-brm,Brabham-BRM,British,,,0.0
182,brabham-ford,Brabham-Ford,British,,,0.0
183,brabham-climax,Brabham-Climax,British,,,0.0
184,lds-climax,LDS-Climax,South African,,,0.0
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,,,0.0
186,cooper-ford,Cooper-Ford,British,,,0.0
187,mclaren-ford,McLaren-Ford,British,,,0.0
188,mclaren-seren,McLaren-Serenissima,British,,,0.0
189,eagle-climax,Eagle-Climax,American,,,0.0
190,eagle-weslake,Eagle-Weslake,American,,,0.0
191,brabham-repco,Brabham-Repco,British,,,0.0
192,cooper-ferrari,Cooper-Ferrari,British,,,0.0
193,cooper-ats,Cooper-ATS,British,,,0.0
194,mclaren-brm,McLaren-BRM,British,,,0.0
195,cooper-brm,Cooper-BRM,British,,,0.0
196,matra-ford,Matra-Ford,French,,,0.0
197,brm-ford,BRM-Ford,British,,,0.0
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,,,0.0
199,march-alfa_romeo,March-Alfa Romeo,British,,,0.0
200,march-ford,March-Ford,British,,,0.0
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,,,0.0
202,shadow-ford,Shadow-Ford,British,,,0.0
203,shadow-matra,Shadow-Matra,British,,,0.0
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,,,0.0
205,lotus_racing,Lotus,Malaysian,,,0.0
206,marussia,Marussia,Russian,,,0.0
207,caterham,Caterham,Malaysian,,,0.0
208,lotus_f1,Lotus F1,British,16.434782608695652,16.0,0.0
209,manor,Manor Marussia,British,17.318181818181817,38.0,0.0
210,haas,Haas F1 Team,American,17.178947368421053,167.0,0.0
211,racing_point,Racing Point,British,19.246153846153845,38.0,1.0
213,alphatauri,AlphaTauri,Italian,15.368794326241135,82.0,1.0
214,alpine,Alpine F1 Team,French,17.423076923076923,74.0,1.0
215,rb,RB F1 Team,Italian,13.842105263157896,10.0,0.0
